Name,Type,Style,"Description",Company,Image,Bes-Tea
Boulder Breakfast,Black,Bagged,"Dushanbe Teahouse's signature blend is an uplifting pick-up anytime tea.  It is a hearty blend of malty Indian Assam, with the herry-rich notes of Chinese Keemun and the complex brighteness of Chinese Yunnan. Bold, brisk, and balanced.",Boulder Tea Company,boulder-breakfast.webp,false
Bourbon,Black,Loose,"A beautiful blend of Chinese, Sri Lankan, and Indian black tea with sunflower petals, and calendula petals with a smokey flavor.",Jolie Tea Company,bourbon.webp,false
Ceylon Tea,Black,Bagged,"Made of the finest high-grown teas from the hillside of Sri Lanka, producing a drink of golden color and special character. ",Ahnad Tea of London,ceylon.jpg,false
Cha Cha Chai,Chai,Loose,"Organic Black Tea, Organic Ginger, Organic Cinnamon, Organic Cardamom, Organic Vanilla Bean. A must-taste for all masala chai tea lovers.  It's simply ""to chai for"".",Cup of Te,cha-cha-chai.webp,false
"Chamomile, Vanilla & Manuka Honey",Tisane,Bagged,"A blissful dip in a pool of calm.",Pukka,pukka.webp,false
Creme Caramel Roobios,Tisane,Loose,"It’s sweet, creamy and totally guilt-free thanks to a smooth-tasting base of caffeine-free rooibos – a South African miracle plant loved for its antioxidants and natural sweetness. So indulge in a caramel dream.",DAVIDsTEA,creme-caramel-rooibos.jpg,false
English Toffee,Pu-Erh,Loose,"A thick bold dessert tea with cocoa beans, caramel, and cocoa husk. *Discountinued!*",DAVIDsTEA,english-toffee.jpeg,false
French Breakfast,Black,Loose,Sri Lankan black tea from the St.Coombs Estate in the Dimbula region of Sri Lanka,Jolie Tea Company,french-breakfast.webp,false
Full Moon Maple,Black,Loose,"A blend of Chinese black teas, black peppercorn, cinnamon, fennel, ginger, anise, cardamom, clovesw, fenugreek, and slippery elm bark.  A favorite to be enjoyed in the fall and winter.",Jolie Tea Company,full-moon-maple.webp,true
Gingia Assam,Black,Loose,"The full-bodied, malty quality of Assam is often the backbone of popular European blends such as English Breakfast. This Assam is a hearty robust brew, yet exhibits a mellow, woodsy character with a comforting, malty finish. This brew can be enjoyed with or without the addition of milk or sugar.",The Random Tea Room,gingia-assam.jpg,false
Glenburn Signature Blend,Black,Loose,"A blend of Assam black tea and Darjeeling black tea. It has a light to medium-bodied with fruity and floral notes, and perhaps a touch of briskness. ",Jolie Tea Company,glenburn.webp,false
Golden Arrow ,Black,Loose,"This is a potent blend of black teas with burnt toffee notes. It's a powerful breakfast tea for those who enjoy smoky sweetness. Try it with milk to get a fantastic crème brûlée flavor. Ice it for an intense twist on classic iced tea.  Ingredients: yunnan black tea, assam black tea, taiwanese lapsang souchong black tea, and some flavoring. Reccomended for winter but still good all year round!",August Uncommon,golden-arrow.webp,false
Golden Monkey Superior,Black,Loose,Chinese golden-black tea from the Yunnan Providence.  Soft flavor you can enjoy all year round!,Jolie Tea Company,golden-monkey.webp,false
Golden Pu'Erh,Pu-Erh,Loose,"A darker and fuller-flavored brew than the Tuocha, Golden Pu-Erh is a cooked loose leaf Pu-Erh exhibiting an earthiness reminiscent of clay. Surprisingly smooth and creamy with milk. This tea stands up to several steepings.",The Random Tea Room,golden-puerh.jpg,true
Green Tea,Green,Bagged,"This smooth green tea offers delicate notes of citrus alongside soft oceanic undertones. Enjoy this expressive green tea and its many antioxidants. 100% of profits support orphan education in Kenya!",Ajiri Tea,green-tea.webp,false
Hibiscus Blend,Tisane,Loose,"Hibbiscus flower, wild cherry bark, rose hips, orange peel, lemon grass, spearmint leaf, and licorice root",Jolie Tea Company,hibiscus-blend.webp,false
Honey Rarity,Black,Loose,A rare black tea from Taiwan. This special black tea has floral notes with hints of honey and a light floral aroma. ,Fava Tea Company,honey-rarity.jpg,false
Jammin' Lemon Ginger,Tisane,Bagged,"This uplifting blend combines spicy ginger with a cheerfully bright lemon glavor and aroma.  Perfect to sooth and rejuvenate.",Celestial,jammin-lemon-ginger.webp,false
Kenyan Black Tea,Black,Bagged,"Ajiri Kenyan Black Tea is exceptionally full-bodied and smooth. Winner of the ""Best Black Tea"" at the World Expo, this Kenyan Black Tea is grown in the Kisii Hills of western Kenya, an area known for its abundant rainfall and fertile soil. 100% of the profits are donated to the Ajiri Foundation, which provides school fees and programming for orphans in western Kenya.",Ajiri Tea,kenyan-black-tea.webp,false
Leatherbound,Black,Loose,"Intensify your breakfast tea. The bold tannins and rich, buttery aroma of this tea mimic the inviting yet austere atmosphere of an old library. Dark wooden walls shoulder the weight of endless rows of well-loved books. Hints of cocoa and sweet almond enliven the flavor like a contemporary novel among stately leatherbound classics. A splash of milk tips the flavor towards a dark creamy stout. Like sinking into a crackled leather club chair to ponder the pages between your hands. Ingredients: organic GFBOP assam tea, organic cacao shell, organic caraway, and natural flavoring.",August Uncommon,leatherbound.jpg,true
Love,Tisane,Bagged,"A heart-warming touch of rose, chamomile, & lavender.",Pukka,love.webp,false
Mango White,White,Loose,"This chinese white tea has natural flavor oils and has a bit of a bite to it. Make sure not to burn it! Give the boiled water a few minutes before steeping!",Jolie Tea Company,mango-white.webp,false
Masala Chai,Chai,Loose,"Melvins Masala Tea is a mix of spices including ginger, cinnamon and cloves. Masala has been known to calm the nerves, relieve indigestion, regulate diabetes and even nourish the skin, but for us at Melvins, Masala is known for bringing the best of Kenya flavor to the best of Kenyan Tea.",Melvins,masala-chai.png,false
Mountain Kenya,Black,Loose,Rich and thick African black tea from the Tindred Estate in Kenya. Highly Caffinated.,Jolie Tea Company,mountain-kenya.png,true
Nada Java,Yerba Mate,Loose,"A healthy cup of get up and get going. With its powerful blend of roasted maté, roasted barley, roasted chicory root and dandelion root, this cup is full bodied and full of health benefits.",The Random Tea Room,nada-java.avif,false
Nairobi Chai,Chai,Bagged,"Small-scale Kenyan tea farmers handpick only the top two leaves and a bud, bringing you a pure and strong cup filled with the promise of education. 100% of Profits support orphan educaation in Kenya.  This black tea has a robust flavor of cinnamon, cardamom, black pepper, and packs a punch of ginger and clove. ",Ajiri Tea,nairobi-chai.webp,false
"New York Breakfast",Black,Loose,A beautiful full bodied black tea with aromatic vanilla and a hint of cinnamon.,T2,new-york-breakfast.jpg,false
Night Time,Tisane,Bagged,"A dreamy bed of oatflower, lavender, & limeflower",Pukka,night-time.avif,false
